"x" "y" "z"
"311" -49.5 89.5 -2.38418579101562e-07
"312" -48.5 89.5 -2.38418579101562e-07
"313" -47.5 89.5 -2.38418579101562e-07
"314" -46.5 89.5 -2.38418579101562e-07
"315" -45.5 89.5 -2.38418579101562e-07
"316" -44.5 89.5 -2.38418579101562e-07
"317" -43.5 89.5 -2.38418579101562e-07
"318" -42.5 89.5 -2.38418579101562e-07
"319" -41.5 89.5 -2.38418579101562e-07
"320" -40.5 89.5 -2.38418579101562e-07
"321" -39.5 89.5 -2.38418579101562e-07
"322" -38.5 89.5 -2.38418579101562e-07
"323" -37.5 89.5 -2.38418579101562e-07
"324" -36.5 89.5 -2.38418579101562e-07
"325" -35.5 89.5 -2.38418579101562e-07
"326" -34.5 89.5 -2.38418579101562e-07
"327" -33.5 89.5 -2.38418579101562e-07
"328" -32.5 89.5 -2.38418579101562e-07
"329" -31.5 89.5 -2.38418579101562e-07
"330" -30.5 89.5 -2.38418579101562e-07
"331" -29.5 89.5 -2.38418579101562e-07
"332" -28.5 89.5 -2.38418579101562e-07
"333" -27.5 89.5 -2.38418579101562e-07
"334" -26.5 89.5 -2.38418579101562e-07
"335" -25.5 89.5 -2.38418579101562e-07
"336" -24.5 89.5 -2.38418579101562e-07
"337" -23.5 89.5 -2.38418579101562e-07
"338" -22.5 89.5 -2.38418579101562e-07
"339" -21.5 89.5 -2.38418579101562e-07
"340" -20.5 89.5 -2.38418579101562e-07
"341" -19.5 89.5 -2.38418579101562e-07
"342" -18.5 89.5 -2.38418579101562e-07
"343" -17.5 89.5 -2.38418579101562e-07
"344" -16.5 89.5 -2.38418579101562e-07
"345" -15.5 89.5 -2.38418579101562e-07
"346" -14.5 89.5 -2.38418579101562e-07
"347" -13.5 89.5 -2.38418579101562e-07
"348" -12.5 89.5 -2.38418579101562e-07
"349" -11.5 89.5 -2.38418579101562e-07
"350" -10.5 89.5 -2.38418579101562e-07
"351" -9.5 89.5 -2.38418579101562e-07
"352" -8.5 89.5 -2.38418579101562e-07
"353" -7.5 89.5 -2.38418579101562e-07
"354" -6.5 89.5 -2.38418579101562e-07
"355" -5.5 89.5 -2.38418579101562e-07
"356" -4.5 89.5 -2.38418579101562e-07
"357" -3.5 89.5 -2.38418579101562e-07
"358" -2.5 89.5 -2.38418579101562e-07
"359" -1.5 89.5 -2.38418579101562e-07
"360" -0.5 89.5 -2.38418579101562e-07
"361" 0.5 88.5 -0.000166893005371094
"362" 1.5 88.5 -0.000166893005371094
"363" 2.5 88.5 -0.000166893005371094
"364" 3.5 88.5 -0.000166893005371094
"365" 4.5 88.5 -0.000166893005371094
"366" 5.5 88.5 -0.000166893005371094
"367" 6.5 88.5 -0.000166893005371094
"368" 7.5 88.5 -0.000166893005371094
"369" 8.5 88.5 -0.000166893005371094
"370" 9.5 88.5 -0.000166893005371094
"371" 10.5 88.5 -0.000166893005371094
"372" 11.5 88.5 -0.000166893005371094
"373" 12.5 88.5 -0.000166893005371094
"374" 13.5 88.5 -0.00025022029876709
"375" 14.5 88.5 -0.00025022029876709
"376" 15.5 88.5 -0.00025022029876709
"377" 16.5 88.5 -0.00025022029876709
"378" 17.5 88.5 -0.00025022029876709
"379" 18.5 88.5 -0.00025022029876709
"380" 19.5 88.5 -0.00025022029876709
"381" 20.5 88.5 -0.00025022029876709
"382" 21.5 88.5 -0.000166893005371094
"383" 22.5 88.5 -0.000166893005371094
"384" 23.5 88.5 -0.000166893005371094
"385" 24.5 88.5 -0.000166893005371094
"386" 25.5 88.5 -0.000166893005371094
"387" 26.5 88.5 -0.000166893005371094
"388" 27.5 88.5 -0.000166893005371094
"389" 28.5 88.5 -0.000166893005371094
"390" 29.5 88.5 -0.000166893005371094
"391" 30.5 88.5 -0.000166893005371094
"392" 31.5 88.5 -0.000166893005371094
"393" 32.5 88.5 -0.000166893005371094
"394" 33.5 88.5 -0.000166893005371094
"395" 34.5 88.5 -8.36849212646484e-05
"396" 35.5 88.5 -8.36849212646484e-05
"397" 36.5 88.5 -8.36849212646484e-05
"398" 37.5 88.5 -8.36849212646484e-05
"399" 38.5 88.5 -8.36849212646484e-05
"400" 39.5 88.5 -8.36849212646484e-05
"401" 40.5 88.5 -8.36849212646484e-05
